,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
39,8.0,13.0,0.0,7.0,0.0,93.0,0.0,0.0,9.0,66.0,6.0,9.0,0.0,4.0,0.0,23.0,68.0,56.0,55.0,35.0,94.0,23.0,0.0,30.0,0.0,27.0,9.0,20.0,85.0,0.0,57.0,11.0,141.0,7.0,14.0,0.0,1.0,0.0,18.0,0.0,11.0,0.0,14.0,36.0,184.0,3.0,29.0,0.0,0.0,113.0,196.0,155.0,177.0,46.0,152.0,95.0,113.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,53.0,0.0,18.0,20.0,21.0,31.0,32.0,4.0,2.0,0.0,0.0,17.0,67.0,34.0,33.0,26.0,9.0,13.0,8.0,6.0,56.0,9.0,12.0,11.0,18.0,7.0,19.0,32.0,31.0,21.0,22.0,76.0,22.0,1.0,0.0,0.0,25.0,124.0,87.0,653.0,1.0,15.0,135.0,0.0,135.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4.0,5.0,6.0,14.0,19.0,4.0,4.0,0.0,86.0,0.0,51.0,11.0,37.0,0.0,306.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,99.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,24.0,2.0,23.0,16.0,24.0,5.0,63.0,5.0,6.0,0.0,18.0,8.0,75.0,48.0,0.0,87.0,37.0,10.0,18.0,15.0,4.0,0.0,35.0,10.0,14.0,11.0,0.0,0.0,4.0,10.0,0.0,1.0,13.0,72.0,19.0,5.0,70.0,0.0,80.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4.0,22.0,36.0,0.0,0.0,12.0,31.0,33.0,47.0,0.0,36.0,14.0,29.0,0.0,13.0,6.0,20.0,47.0,8.0,0.0,15.0,22.0,2.0,28.0,49.0,7.0,24.0,0.0,58.0,24.0,18.0,31.0,18.0,55.0,140.0,22.0,35.0,47.0,45.0,0.0,89.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,137.0,0.0,6.0,0.0,14.0,393.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,16.0,8.0,33.0,15.0,0.0,10.0,28.0,0.0,30.0,1.0,16.0,37.0,62.0,6.0,10.0,2.0,5.0,1.0,20.0,37.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5.0,18.0,13.0,12.0,0.0,32.0,26.0,0.0,0.0,30.0,19.0,0.0,5.0,15.0,4.0,0.0,14.0,0.0,29.0,0.0,0.0,21.0,10.0,1.0,6.0,69.0,27.0,29.0,40.0,1.0,0.0,17.0,16.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14.0,44.0,0.0,25.0,22.0,9.0,4.0,1.0,4.0,0.0,15.0,11.0,49.0,51.0,17.0,45.0,41.0,35.0,0.0,0.0,12.0,57.0,2.0,15.0,4.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14.0,17.0,22.0,16.0,13.0,2.0,0.0,2.0,0.0,34.0,12.0,16.0,17.0,21.0,15.0,0.0,34.0,10.0,11.0,30.0,13.0,73.0,27.0,32.0,36.0,53.0,0.0,0.0,145.0,25.0,75.0,0.0,19.0,24.0,33.0,0.0,25.0,82.0,101.0,73.0,0.0,20.0,99.0,62.0,32.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,6.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,25.0,0.0,14.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
48,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
