,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
39,20.0,23.0,2.0,6.0,0.0,3.0,20.0,14.0,21.0,3.0,7.0,22.0,24.0,3.0,28.0,13.0,0.0,8.0,35.0,8.0,40.0,0.0,7.0,11.0,0.0,8.0,26.0,41.0,16.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,28.0,0.0,51.0,15.0,13.0,13.0,22.0,2.0,11.0,37.0,24.0,7.0,11.0,6.0,10.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,20.0,4.0,0.0,0.0,0.0,65.0,148.0,53.0,25.0,22.0,55.0,150.0,13.0,114.0,5.0,60.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,22.0,18.0,0.0,0.0,37.0,8.0,39.0,8.0,45.0,3.0,0.0,9.0,29.0,0.0,22.0,0.0,20.0,19.0,28.0,2.0,0.0,20.0,3.0,9.0,39.0,2.0,26.0,30.0,0.0,0.0,12.0,4.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,11.0,0.0,0.0,56.0,0.0,0.0,0.0,5.0,0.0,2.0,20.0,0.0,3.0,0.0,3.0,0.0,12.0,0.0,1.0,2.0,2.0,17.0,18.0,53.0,67.0,8.0,0.0,10.0,1.0,73.0,0.0,25.0,28.0,9.0,0.0,141.0,80.0,12.0,676.0,0.0,0.0
41,6.0,0.0,8.0,15.0,8.0,13.0,5.0,10.0,24.0,9.0,11.0,7.0,19.0,0.0,10.0,20.0,7.0,7.0,25.0,10.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15.0,50.0,7.0,28.0,21.0,29.0,21.0,42.0,27.0,48.0,1.0,15.0,10.0,30.0,0.0,16.0,4.0,8.0,0.0,53.0,121.0,5.0,0.0,184.0,34.0,0.0,26.0,38.0,3.0,22.0,0.0,0.0,129.0,0.0,84.0,30.0,0.0,4.0,77.0,77.0,75.0,0.0,458.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,19.0,15.0,0.0,5.0,16.0,7.0,15.0,0.0,8.0,12.0,34.0,0.0,39.0,65.0,14.0,27.0,7.0,12.0,15.0,30.0,0.0,2.0,18.0,5.0,0.0,335.0,0.0,0.0,25.0,23.0,64.0,23.0,7.0,0.0,33.0,24.0,31.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,32.0,0.0,7.0,17.0,8.0,48.0,25.0,17.0,4.0,4.0,0.0,0.0,18.0,31.0,13.0,2.0,21.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,23.0,7.0,0.0,15.0,15.0,35.0,29.0,15.0,10.0,3.0,39.0,43.0,0.0,25.0,14.0,14.0,0.0,0.0,12.0,0.0,688.0,51.0,20.0,58.0,163.0,2.0,34.0,0.0,4.0,18.0,38.0,0.0,0.0,9.0,33.0,100.0,100.0,120.0,23.0,35.0,0.0,1.0,2.0,31.0,24.0,189.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13.0,18.0,0.0,11.0,16.0,0.0,12.0,14.0,0.0,8.0,9.0,24.0,63.0,22.0,16.0,0.0,87.0,11.0,45.0,0.0,10.0,74.0,19.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,18.0,7.0,12.0,0.0,0.0,6.0,0.0,9.0,0.0,23.0,0.0,13.0,0.0,26.0,21.0,3.0,6.0,14.0,5.0,0.0,69.0,33.0,168.0,146.0,56.0,7.0,15.0,0.0,84.0,28.0,1.0,14.0,43.0,0.0,7.0,137.0,77.0,7.0,54.0,25.0,0.0,25.0,47.0,74.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10.0,10.0,4.0,7.0,28.0,11.0,4.0,0.0,32.0,19.0,19.0,0.0,5.0,34.0,0.0,7.0,7.0,0.0,0.0,13.0,1.0,0.0,0.0,25.0,0.0,9.0,1.0,33.0,0.0,13.0,0.0,7.0,0.0,31.0,19.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
